task_id,trial_id,model,prompt_hash,taxonomy_version,success,stage,error_type,signature,returncode,gen_elapsed_sec,elapsed_sec,context_used,context_num_files,repo_context_preview,patch_lines_added,patch_lines_removed,files_changed,timestamp,seed
astropy__astropy-12907,0,Qwen/Qwen2.5-Coder-7B-Instruct,1d006f36813d2fc095bc8da160e7e87abfd8d05ee8957d92087cee1133b4b7b9,B-v2-step2-C,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,3.3301711082458496,0.7477412223815918,True,80,"Existing files (choose from these):
setup.py
conftest.py
docs/conf.py
ah_bootstrap.py
astropy/logger.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/extern/six.py
astropy/samp/utils.py
astropy/table/info.py
astropy/table/meta.py
... (+60 more)",17,0,1,2026-02-13T01:06:15.732485,42
astropy__astropy-14182,0,Qwen/Qwen2.5-Coder-7B-Instruct,323a3b727d26875c53e665ce8dcd10f792793ee5799a7ac698c292c0950d1af1,B-v2-step2-C,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,4.21410870552063,0.5721557140350342,True,80,"Existing files (choose from these):
setup.py
conftest.py
docs/conf.py
docs/conftest.py
astropy/logger.py
astropy/version.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/samp/utils.py
astropy/table/info.py
astropy/table/meta.py
... (+60 more)",10,0,1,2026-02-13T01:06:19.810903,42
astropy__astropy-14365,0,Qwen/Qwen2.5-Coder-7B-Instruct,232a841813d672f784b09b1e96ec3c80e68dec2004a89644c92446bea8d6a434,B-v2-step2-C,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,1.6041462421417236,0.582679271697998,True,80,"Existing files (choose from these):
setup.py
conftest.py
docs/conf.py
docs/conftest.py
astropy/logger.py
astropy/version.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/samp/utils.py
astropy/table/info.py
astropy/table/meta.py
... (+60 more)",1,1,1,2026-02-13T01:06:24.597912,42
astropy__astropy-14995,0,Qwen/Qwen2.5-Coder-7B-Instruct,fd14cad64dd3edbd82b7592d7f25cd7092f8823092380514768bffb1d84d63a2,B-v2-step2-C,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,3.4254801273345947,0.5278489589691162,True,80,"Existing files (choose from these):
setup.py
conftest.py
docs/conf.py
docs/conftest.py
astropy/logger.py
astropy/version.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/samp/utils.py
astropy/table/info.py
astropy/table/meta.py
... (+60 more)",3,3,1,2026-02-13T01:06:26.785374,42
astropy__astropy-6938,0,Qwen/Qwen2.5-Coder-7B-Instruct,c5b32e42610f8f080a47c68fd74b8756f9c425cccd00e2a95d0cec9268bcd381,B-v2-step2-C,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,1.7745544910430908,0.5493772029876709,True,80,"Existing files (choose from these):
setup.py
conftest.py
docs/conf.py
docs/conftest.py
astropy/logger.py
astropy/version.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/samp/utils.py
astropy/table/info.py
astropy/table/meta.py
... (+60 more)",1,1,1,2026-02-13T01:06:30.739348,42
astropy__astropy-7746,0,Qwen/Qwen2.5-Coder-7B-Instruct,b17508f2f0c9e41b5b4f161b651d28ae211cd3e74b0b5d30303560c5732c8eab,B-v2-step2-C,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,1.982682466506958,0.5491931438446045,True,80,"Existing files (choose from these):
setup.py
conftest.py
ez_setup.py
docs/conf.py
ah_bootstrap.py
astropy/logger.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/extern/six.py
astropy/samp/utils.py
astropy/table/info.py
... (+60 more)",5,0,1,2026-02-13T01:06:33.063810,42
django__django-10914,0,Qwen/Qwen2.5-Coder-7B-Instruct,9e757ab3e919080971bad8389f6105bf244134b82a80aa8cfddc5287a3888681,B-v2-step2-C,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,1.3905632495880127,0.659609317779541,True,80,"Existing files (choose from these):
setup.py
docs/conf.py
tests/urls.py
tests/runtests.py
django/__init__.py
django/__main__.py
django/db/utils.py
tests/apps/apps.py
tests/asgi/urls.py
tests/i18n/urls.py
tests/str/tests.py
tests/wsgi/urls.py
tests/wsgi/wsgi.py
django/core/asgi.py
django/core/wsgi.py
django/shortcuts.py
django/test/html.py
django/urls/base.py
django/urls/conf.py
django/utils/_os.py
... (+60 more)",2,0,1,2026-02-13T01:06:35.596335,42
django__django-10924,0,Qwen/Qwen2.5-Coder-7B-Instruct,b90fbf868d6429a5e1d18495bf110d02a16e6f2fb4eabbbc2b7ccbf0c6ae753a,B-v2-step2-C,False,GEN,GEN_FAIL,empty_diff,,6.347926139831543,6.347926139831543,True,80,"Existing files (choose from these):
setup.py
docs/conf.py
tests/urls.py
tests/runtests.py
django/__init__.py
django/__main__.py
django/db/utils.py
tests/apps/apps.py
tests/i18n/urls.py
tests/str/tests.py
tests/wsgi/urls.py
tests/wsgi/wsgi.py
django/core/wsgi.py
django/shortcuts.py
django/test/html.py
django/urls/base.py
django/urls/conf.py
django/utils/_os.py
django/utils/log.py
tests/apps/tests.py
... (+60 more)",0,0,0,2026-02-13T01:06:37.646997,42
django__django-11001,0,Qwen/Qwen2.5-Coder-7B-Instruct,4069f50e70379d13a337e3456723f8e177f34a8ca13eeb0ac7327e695448e627,B-v2-step2-C,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,1.3156089782714844,0.6002950668334961,True,80,"Existing files (choose from these):
setup.py
docs/conf.py
tests/urls.py
tests/runtests.py
django/__init__.py
django/__main__.py
django/db/utils.py
tests/apps/apps.py
tests/i18n/urls.py
tests/str/tests.py
tests/wsgi/urls.py
tests/wsgi/wsgi.py
django/core/wsgi.py
django/shortcuts.py
django/test/html.py
django/urls/base.py
django/urls/conf.py
django/utils/_os.py
django/utils/log.py
tests/apps/tests.py
... (+60 more)",1,1,1,2026-02-13T01:06:43.995220,42
django__django-11019,0,Qwen/Qwen2.5-Coder-7B-Instruct,58a7fa89650286a791da19a404d1f30f6c3e28f97d146c8cb17bd8160e201aa3,B-v2-step2-C,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,1.2152605056762695,0.5305469036102295,True,80,"Existing files (choose from these):
setup.py
docs/conf.py
tests/urls.py
tests/runtests.py
django/__init__.py
django/__main__.py
django/db/utils.py
tests/apps/apps.py
tests/i18n/urls.py
tests/str/tests.py
tests/wsgi/urls.py
tests/wsgi/wsgi.py
django/core/wsgi.py
django/shortcuts.py
django/test/html.py
django/urls/base.py
django/urls/conf.py
django/utils/_os.py
django/utils/log.py
tests/apps/tests.py
... (+60 more)",1,1,1,2026-02-13T01:06:45.911564,42
